seID,SrcIp,DstIp,SrcPort,DstPort,timestamp,ActualUlVolume,ActualDlVolume,ActualTotalVolume,ActualUlPacket,ActualDlPacket,ActualTotalPacket
1,201392386,1145490689,57041,47873,2024-10-04 19:19:48,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:48,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:49,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:49,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:49,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:49,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:50,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:50,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:50,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:50,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:51,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:51,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:51,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:51,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:52,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:52,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:52,612,5449,6061,6,7,13
1,201392386,2170660915,0,0,2024-10-04 19:19:52,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:53,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:53,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:53,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:53,0,0,0,0,0,0
1,201392386,2170660915,44760,36895,2024-10-04 19:19:54,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:54,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:54,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:54,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:55,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:55,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:55,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:55,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:56,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:56,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:56,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:56,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:57,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:57,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:57,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:57,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:58,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:58,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:58,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:58,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:19:59,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:59,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:19:59,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:59,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:20:00,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:00,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:20:00,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:00,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:20:01,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:01,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:20:01,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:01,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:20:02,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:02,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:20:02,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:02,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:20:03,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:03,0,0,0,0,0,0
1,201392386,1145490689,57041,47873,2024-10-04 19:20:03,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:03,128,84,212,1,1,2
1,201392386,2170660915,44760,36895,2024-10-04 19:20:04,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:04,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:04,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:05,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:05,666,507,1173,6,6,12
1,201392386,2170660915,0,0,2024-10-04 19:20:05,128,0,128,1,0,1
1,201392386,2170660915,57029,36895,2024-10-04 19:20:06,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:06,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:06,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:07,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:07,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:07,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:20:08,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:08,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:08,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:09,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:09,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:09,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:20:10,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:10,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:20:10,0,84,84,0,1,1
1,201392386,2170660915,57029,36895,2024-10-04 19:20:11,0,0,0,0,0,0
1,201392386,2170660915,15082,36895,2024-10-04 19:20:11,0,0,0,0,0,0
